Make	Model	Serial_Number	Comment	Measurement_Date	Measurement_Time	Intensity_Actual_(suns)	Intensity_Set_(suns)	Vmp_(V)	pVmp_(V)	Voc_(V)	pVoc_(V)	Imp_(A)	pImp_(A)	Isc_(A)	pIsc_(A)	Pmp_(W)	pPmp_(W)	FF	pFF	Efficiency_(%)	pEfficiency_(%)	Rs_(Ohm)	Rsh_(Ohm)
PANASONIC	VBHN240SA11	R0WF6GF08413	X	20180917	HHMMSS	0.250	0.25	43.0904808109505	47.04000152836704	50.67224853711895	52.827334189486606	1.386478449953368	1.4252884910961787	1.4976573665208621	1.497713152371776	59.744023042512	67.0455727995282	0.7872484615560315	0.8473888911370607	18.84978180755524	0.21153487061532328	3.5658525088779167	21115.684489353724
PANASONIC	VBHN240SA11	R0WF6GF08410	20180627	20190925	HHMMSS	0.250	0.25	42.26573376932824	46.85672387431166	50.50889528952675	52.70624354552269	1.4079486061211082	1.4224214216012874	1.5007586003499764	1.500839786974638	59.50798094721155	66.65000778487737	0.7850485297065017	0.8425657587424816	18.76384462364156	0.21015843090850844	3.5909510259779673	21730.265416252863
PANASONIC	VBHN240SA11	R0WF6GF08411	20180627	20190925	HHMMSS	0.249	0.25	42.641044686386785	46.87589734506871	50.516256683611545	52.73150237244916	1.378308064970493	1.4194725732729503	1.4950650175044897	1.4950962531543888	58.7724957900141	66.53905062888333	0.7781850667641598	0.8439900021323052	18.604816893974533	0.2106337048663522	3.8975171023883854	21145.102950039003
PANASONIC	VBHN240SA11	R0WF6GF08413	20180627	20190925	HHMMSS	0.249	0.25	42.546690098695585	46.73519041561836	50.433672153553324	52.658314878527364	1.3823067924556773	1.42005769023525	1.4944963581305148	1.494555599805942	58.81257871993362	66.3666665543076	0.7802877162390535	0.8432783903639404	18.649847961915277	0.21045297926333836	3.766104960636547	21045.23961358814
PANASONIC	VBHN240SA11	R0WF6GF08414	20180627	20190925	HHMMSS	0.250	0.25	42.625969881734584	46.88559624959755	50.485940919366186	52.692183650923546	1.3815952813021366	1.423912860127176	1.4999767707626093	1.5000363637484662	58.891838849531496	66.76100345453244	0.7776785615894226	0.8446462759698612	18.609756987938344	0.2109640443957108	3.9111357929224444	20142.65120877656
PANASONIC	VBHN240SA11	R0WF6GF08411	X	20190909	114312	0.250	0.25	42.02919579250696	46.02285494580249	49.826581056760716	52.51406798476248	1.4174754720139986	1.4470345939122924	1.5182910385723258	1.5183585551093406	59.575354144352566	66.59666321718365	0.7874999152317442	0.8352230414731585	18.820090883741205	0.21038150293901567	3.3972548420920994	24108.561147138884
PANASONIC	VBHN240SA11	R0WF6GF08411	X	20190909	114605	0.248	0.25	42.11867650520369	46.05938055109553	49.81384984093924	52.47620390579005	1.4073031035030237	1.4378085158747935	1.5103293273160765	1.5103942599310693	59.27374416121304	66.22456959228299	0.7878446650293494	0.83553838622914	18.8334827685386	0.21042019665197786	3.4374549642915113	23571.831918860757
PANASONIC	VBHN240SA11	R0WF6GF08411	X	20190909	114857	0.249	0.25	42.08790614383596	46.174501052384045	49.81475567777018	52.46542272395347	1.4141033617285763	1.441160729992265	1.517828208570851	1.517893062216928	59.51664956611523	66.5448776436824	0.7871506357750129	0.8356035540716072	18.835560125011966	0.2105982196589829	3.451438861903784	23370.23057938303
PANASONIC	VBHN240SA11	R0WF6GF08410	X	20190909	115847	0.249	0.25	42.59311676657028	46.76312472580581	50.409101092578254	52.930929603140996	1.4061433756762414	1.437390649575457	1.5122327069520425	1.5123122171865786	59.89202899071745	67.21687822580412	0.7856723080888288	0.8397061936307706	18.982052390321236	0.21303574540675657	3.556144930773184	26810.194162769687
PANASONIC	VBHN240SA11	R0WF6GF08410	X	20190909	120140	0.250	0.25	42.62007732432839	46.69431480425282	50.41108839296563	52.89637083476137	1.4075448004415243	1.4447027554948788	1.5179741512858373	1.518047273360064	59.98966823227414	67.45940526364936	0.783945749493775	0.8401006783475743	18.9535049471887	0.2131353963233138	3.61215453259853	27114.25821960129
PANASONIC	VBHN240SA11	R0WF6GF08410	X	20190909	120436	0.250	0.25	42.62190541595516	46.6996139148941	50.4043326915458	52.88647692504765	1.409656600117501	1.44418047898291	1.5178606452899108	1.5179108502425254	60.08225027918506	67.44267079192873	0.7853195694070834	0.8401249023574653	18.98291191305235	0.213084275784475	3.534337007853381	26379.385469907844
